[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
1.0000e+09   3.5000e+02   1.0000e+01   1.5994e-06   1.0149e-05
1.0000e+09   3.5000e+03   1.0000e+01   3.5461e-05   2.4879e-04
1.0000e+09   3.5000e+04   1.0000e+01   1.8273e-04   8.6981e-04
1.0000e+09   6.7000e+02   1.0000e+01   5.2886e-06   3.7268e-05
1.0000e+09   6.7000e+03   1.0000e+01   6.1638e-05   3.8681e-04
1.0000e+09   6.7000e+04   1.0000e+01   2.4481e-04   1.0948e-03
1.9000e+07   1.0000e+02   1.0000e+01   2.5089e-05   1.3659e-05
1.9000e+07   1.0000e+03   1.0000e+01   1.9442e-04   1.8784e-04
1.9000e+07   1.0000e+04   1.0000e+01   4.5099e-04   5.6085e-04
1.9000e+07   1.0000e+05   1.0000e+01   7.2975e-04   9.8344e-04
1.9000e+07   1.9000e+02   1.0000e+01   5.4934e-05   3.4654e-05
1.9000e+07   1.9000e+03   1.0000e+01   2.6158e-04   2.7923e-04
1.9000e+07   1.9000e+04   1.0000e+01   5.2796e-04   6.7982e-04
1.9000e+07   3.5000e+02   1.0000e+01   9.7897e-05   7.3641e-05
1.9000e+07   3.5000e+03   1.0000e+01   3.2919e-04   3.7669e-04
1.9000e+07   3.5000e+04   1.0000e+01   6.0194e-04   7.9365e-04
1.9000e+07   6.7000e+02   1.0000e+01   1.5516e-04   1.3815e-04
1.9000e+07   6.7000e+03   1.0000e+01   4.0390e-04   4.8869e-04
1.9000e+07   6.7000e+04   1.0000e+01   6.8098e-04   9.1250e-04
1.9000e+08   1.0000e+02   1.0000e+01   1.6220e-06   3.5379e-06
1.9000e+08   1.0000e+03   1.0000e+01   5.6297e-05   1.5594e-04
1.9000e+08   1.0000e+04   1.0000e+01   2.2562e-04   6.9121e-04
1.9000e+08   1.0000e+05   1.0000e+01   4.5829e-04   1.4279e-03
1.9000e+08   1.9000e+02   1.0000e+01   5.3710e-06   1.2970e-05
1.9000e+08   1.9000e+03   1.0000e+01   9.3367e-05   2.7269e-04
1.9000e+08   1.9000e+04   1.0000e+01   2.8698e-04   8.8602e-04
1.9000e+08   3.5000e+02   1.0000e+01   1.5006e-05   3.8268e-05
1.9000e+08   3.5000e+03   1.0000e+01   1.3618e-04   4.0889e-04
1.9000e+08   3.5000e+04   1.0000e+01   3.4828e-04   1.0811e-03
1.9000e+08   6.7000e+02   1.0000e+01   3.7033e-05   9.8899e-05
1.9000e+08   6.7000e+03   1.0000e+01   1.8955e-04   5.7723e-04
1.9000e+08   6.7000e+04   1.0000e+01   4.1567e-04   1.2946e-03
3.5000e+05   1.0000e+00   1.0000e+01   2.9956e-06   1.9920e-08
3.5000e+05   1.0000e+01   1.0000e+01   3.1697e-05   4.7386e-07
3.5000e+05   1.0000e+02   1.0000e+01   1.2499e-04   7.3586e-06
3.5000e+05   1.0000e+03   1.0000e+01   2.3350e-04   2.2245e-05
3.5000e+05   1.0000e+04   1.0000e+01   3.5252e-04   3.8109e-05
3.5000e+05   1.0000e+05   1.0000e+01   4.8645e-04   5.2065e-05
3.5000e+05   3.5000e+00   1.0000e+01   1.0553e-05   9.4171e-08
